호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원
우이신설,4.19민주묘지,1085,237,2715,1078,6225,1547,6976,4690,4884,3397,3650,3029,3934,2684,3680,3235,3738,3478,3812,3371,4122,3857,4610,4037,4418,4826,4395,6234,2405,6303,1820,3357,1430,2868,812,2202
경원,가능,7079,1734,10102,4305,21438,4906,18467,11977,10548,7127,8414,5103,7891,4940,7711,6099,7273,6634,6843,5892,7064,7270,7818,8623,8990,10892,8032,16802,5411,16844,3837,9718,2994,7932,2322,6051
"3,8",가락시장,4820,3229,10438,11258,25336,23446,29249,57641,20573,30300,19338,22509,20183,20085,20327,19115,20629,20029,22044,20716,24541,21615,25852,23209,32346,26157,48082,34946,21266,26133,16255,16856,15354,13668,9908,10363
"1,7",가산디지털단지,14359,8128,14699,30859,31467,151204,32465,465817,23620,254146,21705,68998,26241,42952,32937,39561,37786,41384,44102,37999,55488,35742,74093,36633,206849,42112,360227,50449,158593,36619,86697,21453,69807,19927,34486,14726
9,가양,12851,1686,20376,8897,58751,19799,58535,34966,31570,21732,21600,12964,21663,14361,22198,14743,20882,16923,19385,18571,21320,20800,24471,25044,29004,31820,35291,56149,17520,49681,11926,27530,10311,25893,6290,18985
우이신설,가오리,1889,265,5116,1178,13259,2196,14006,4479,7842,2762,5627,2946,5035,3268,4749,3839,4829,3890,4617,4317,4173,5776,3991,6608,4373,7582,3614,11227,2549,11563,1635,6354,1372,5026,782,3684
경의,가좌,2090,260,6421,2711,16225,3179,18523,6934,8367,5540,6243,4010,5532,4200,6033,4332,5465,5489,5243,5514,5355,6122,6396,7437,6287,8945,7058,13962,4350,12191,2975,6512,2566,4730,1894,4080
분당,가천대,4620,658,5930,2668,15607,4756,18817,13460,10967,8225,6501,6045,5962,5470,6807,7169,6601,7614,6781,7271,7766,8400,9839,9698,14213,13368,10583,19707,6324,16991,4523,11729,4216,11973,3335,9726
경춘,가평,679,146,1218,1203,2067,2154,2539,4469,1961,2984,1999,2159,3158,2231,2298,3151,2136,2316,2650,2840,2711,2618,3264,2158,3920,2286,3409,2634,1617,2150,1355,1315,926,1299,548,948
경인,간석,4543,1080,9640,1882,20302,3397,16393,6995,9012,4130,6576,3623,6291,4573,5917,4939,6229,5421,5646,5673,6071,6137,6852,7457,6749,11117,7490,15608,4220,16114,3120,9221,2893,7759,2052,5846
경춘,갈매,1323,359,3702,1293,14943,2315,8680,4438,4675,1615,2834,2230,2209,1447,2754,1705,2551,2043,2537,2402,2491,2921,3027,2594,3099,4685,3857,8764,2021,7277,1517,4307,1945,2334,1032,2677
2,강남,6632,11455,15315,44203,31775,120400,47717,265844,36874,253389,35908,114201,49351,78755,59641,74855,70365,91514,81041,81401,104012,76283,118539,77176,189508,91912,279907,119719,174513,79316,125121,38156,133243,29221,95295,20096
"7,분당",강남구청,2277,2225,5454,14482,11030,41752,14714,136527,12269,113158,11614,44738,14241,27617,16720,25160,19676,26901,24207,22982,30703,21306,34648,21645,58861,24552,112262,29834,64471,19957,38031,11621,37079,9366,21978,6311
5,강동,10295,1193,19045,10511,50064,23714,60903,42399,31648,22437,19478,13358,17841,12755,18807,13532,18735,15720,18259,15430,19426,17842,21309,21038,31866,28570,41109,45376,18721,38352,11760,22147,9807,21083,6898,16660
8,강동구청,4095,878,9475,4559,26029,12127,33203,31951,17997,12335,10243,7780,9487,7963,9549,7660,9840,9510,9802,9519,10307,10502,11373,13209,15054,17733,23653,29208,9384,22566,6343,12735,5621,11145,3306,8964
경의,강매,1842,268,4860,1054,14176,1092,13191,2932,5686,1185,3313,1110,2813,1294,2674,1577,2564,1737,2292,2036,2200,2366,2279,3222,2430,5074,2943,8809,1239,8991,779,4927,839,3846,441,3353
2,강변,7885,2341,22288,17475,64478,21041,88470,39001,59442,31686,38988,30117,35463,27877,35032,31542,35536,34448,33718,36407,34312,42228,36749,47293,41082,63228,49420,94770,36902,68090,28304,42311,24396,34295,15453,27137
경춘,강촌,68,19,161,197,226,325,392,1543,362,1198,394,1472,722,1341,748,901,817,942,1051,725,1413,659,1477,567,1545,394,1380,500,580,432,335,245,322,204,96,117
5,개롱,3145,831,6899,3080,20772,6422,16617,13636,9535,6459,6498,4309,5832,4318,6754,4776,6742,5511,5861,5966,6466,7433,7806,9204,9736,11502,10915,17598,5288,16071,3534,8291,3302,7477,1879,6324
경인,개봉,16892,5963,31948,10356,77179,14968,72700,21392,40110,16439,26763,12847,22870,15022,23428,18218,22867,17621,20889,21346,20184,26182,22988,31079,24900,49337,25311,83649,16162,61624,12248,35034,9959,30568,6406,21305
분당,개포동,622,860,2347,3758,6911,4428,6938,7490,3997,4929,3240,3148,2982,2509,3464,2938,3791,3206,3980,3145,3953,3610,5483,3850,6707,5461,6629,8266,4018,6710,2833,3745,2692,3276,1921,2701
9,개화,1790,330,4555,2379,9933,3074,6856,4975,3062,2295,2036,1624,1876,1978,1937,1994,1951,1789,2128,1705,2279,2154,3216,1918,4474,2764,6102,4585,2751,4421,1539,2433,1615,1860,472,1394
5,개화산,3224,276,5765,4557,16890,4564,15493,9542,7960,4975,5443,4321,5186,4185,5594,4598,5592,4579,5323,4989,5580,5911,6560,6327,7941,7250,9022,12184,4259,12745,2815,6842,2324,6147,1673,5255
5,거여,4328,565,9147,8326,27524,7129,24632,14849,12099,7157,8175,4954,7107,5070,7731,5547,7657,6279,7581,6895,8223,8504,10758,10122,13039,13128,12489,18880,5453,19311,3880,9365,3622,8931,2023,6931
"2,7",건대입구,17786,2618,22472,22565,55267,39780,92260,81868,61517,60065,36691,44580,36046,42190,40312,50758,43775,57106,47563,57568,53739,62387,61920,68103,81238,91304,96524,141052,67521,101445,71246,56587,66032,53194,52265,38227
공항철도 1,검암,6033,324,12672,2395,32126,7049,22991,12461,11216,4301,6692,3191,6500,2843,6592,3935,5658,4563,4999,4837,5181,5551,6414,7681,7990,11018,11805,23411,4438,23707,3533,13783,2922,10919,1942,9794
경강,경기광주,1887,312,10149,2192,28026,3993,27538,6978,13217,3371,7915,2923,6937,3543,7031,4065,6567,5014,5732,5119,5585,6883,6825,8853,7766,13546,7009,24581,3942,22393,2640,12641,2330,10532,1150,5598
과천,경마공원,227,329,711,1553,1774,2048,2240,4911,1686,1581,1209,1031,1168,1116,1037,1045,1399,1031,1538,1048,1472,1051,1612,1535,3671,1647,4376,2030,1051,1586,565,1020,483,875,220,548
3,경복궁,2262,1193,4803,11907,10653,35042,15212,85930,14529,37371,10562,20310,11619,17570,12984,16867,16018,19189,18953,18007,22589,15764,29168,16279,43604,18474,75505,22076,31001,15293,23026,8101,22074,7255,12448,5478
3,경찰병원,2401,132,6045,2652,17595,7901,20913,25810,12103,12244,8709,7438,7371,5474,7843,6735,8261,7328,7672,6772,8096,6849,8040,7456,12775,10443,17647,16905,5756,14202,4404,8585,4555,6541,2246,5183
"경의,공항철도1",계양,6525,639,15895,2451,43191,3246,37585,5160,17948,3759,10665,3173,9607,3463,9189,4524,8044,5284,6644,5665,6594,8249,7529,9593,8072,16561,7161,32366,4364,33378,3091,17961,2577,15847,1699,12120
5,고덕,2992,1321,10343,5490,25396,11716,22070,14180,10461,7947,8418,7002,8524,6423,9014,7438,9218,9200,9442,8781,10827,9061,15198,10188,14423,13330,12004,21212,6047,22815,4680,9722,4673,9438,4532,6326
6,고려대,3156,686,6267,3137,17206,9119,20492,22094,10862,8909,6898,5983,6929,6034,7351,6630,8219,7764,7696,6897,8772,7465,11315,8498,16584,10769,17121,18663,8290,15503,5874,9368,6622,9085,5107,6863
수인,고색,648,152,1634,637,3617,2786,2969,3721,1829,943,1673,888,1764,1197,1824,1194,1630,1337,1735,1771,1733,1841,2020,2357,3089,2590,4394,3485,1640,3350,1355,2334,840,1927,655,1543
"3,7,9",고속터미널,6572,6077,12127,54316,38949,85447,57581,125200,55130,126534,50408,100291,61309,95064,71323,94221,77592,101950,83967,100847,101656,102656,115273,99540,150328,111002,162607,131340,122418,86021,136919,48964,87923,39388,59717,23042
안산,고잔,4223,784,10523,3725,24846,10738,17177,22576,9817,10962,8603,7471,8967,6565,8308,7151,7997,8197,8213,8370,9639,7536,10525,8035,15073,11283,17920,18512,7523,15415,5354,10278,4943,8128,3321,6417
경의,곡산,157,183,678,489,1432,1274,1149,2092,705,801,573,567,548,411,475,520,508,505,606,552,788,561,763,689,1211,785,1602,1406,587,940,539,699,359,478,241,360
경강,곤지암,611,111,1672,1308,5294,4374,4627,4371,2917,2163,1959,1564,2076,1614,2229,2015,2209,1988,2272,1920,2471,2318,2983,2646,5191,3538,5095,4646,2108,5099,1307,2669,785,2713,342,1749
"5,6,경의,공항철도 1",공덕,7353,2777,14425,16147,40804,67658,51908,172975,30463,94450,23904,35538,27890,28914,30230,28072,32798,29445,33660,30036,39336,30214,48802,32866,84157,45521,150181,74178,62702,47217,43910,24812,41256,22404,24515,15762
7,공릉,5822,1014,12343,3538,31183,9075,35731,18830,18220,11264,12698,8562,11664,8527,12468,10449,12629,11431,13017,11374,13848,13014,15042,15705,15506,20690,18229,33430,10212,30608,7985,16827,6989,14739,5359,11321
9,공항시장,2749,119,3953,1001,7551,1713,7800,3398,4635,2432,3590,2668,3443,2805,3677,2821,3600,3059,3339,3478,3467,4229,3279,4808,3475,6036,3213,8539,2220,8393,1802,5162,1587,4095,991,3310
공항철도 1,공항화물청사,399,572,1019,6097,1606,11966,2170,19625,1569,3700,462,1933,645,2588,873,3439,1281,1413,1875,841,2494,699,4867,1313,8449,1234,14717,798,4212,975,2116,1881,2729,744,2527,238
과천,과천,1313,713,5315,9721,15581,3788,15144,6557,8247,3598,5290,2979,4774,3138,5300,3630,5569,3597,5423,3754,6062,4199,9906,5389,10210,6909,6510,12480,3289,10979,1904,5962,1345,5442,897,4441
경부,관악,6961,2244,10393,3918,27891,4708,25549,8473,12591,7315,7620,6780,6751,5224,7057,5768,7075,5594,7207,5750,7164,6537,8745,8109,9704,11881,9364,23370,5555,19462,4053,10242,3691,9903,1868,7080
5,광나루,4655,1677,13288,7695,31586,13330,37690,24386,21418,15094,13179,13047,11982,10732,12801,11130,14196,11390,14174,11750,15025,12465,18286,15106,19580,19460,24939,31828,12840,22527,8412,14776,7488,12542,5856,9683
경부,광명,18,2165,2239,3302,10418,3563,8174,2844,4555,2841,698,2109,2762,1369,3305,2111,2397,1777,2399,3710,2698,2297,7936,2768,1234,4030,5897,9557,5810,6032,1006,3262,3420,2154,1403,3143
7,광명사거리,21515,5241,28193,11388,72770,15055,83980,25204,42603,24022,26417,19196,24224,21575,25946,23094,25974,23930,24701,25265,24822,31236,27762,35364,31433,47527,29710,77217,19646,61071,15247,32450,11445,29409,7263,20654
경원,광운대,5372,1244,11094,2641,28730,4562,26054,8830,13125,6713,9603,5845,8122,6895,8704,7071,8883,7564,8728,8288,8288,9618,8808,11062,9578,14380,8700,22136,5169,19758,4154,11706,3772,9195,2971,7271
5,광화문,811,608,2757,20079,7388,68672,10743,206326,9465,84909,9474,30677,13437,25888,16097,22752,20215,25509,24145,21468,29993,18881,40770,17725,79547,20241,163241,23436,61185,13078,40066,5821,37774,4553,19495,2754
6,광흥창,2471,1128,5861,4159,14629,13435,17902,31296,11475,14799,7947,7203,7585,6029,7779,6721,8303,7263,9030,7455,9519,8227,11145,8680,16416,11190,26751,17358,12231,13246,7536,7535,6757,6976,4078,5503
"2,3",교대,2862,7261,13096,29516,25983,60393,36515,178488,29214,148613,28712,69246,35610,48951,39309,43937,45496,51317,56393,49190,63897,44517,71136,42272,119263,49684,182100,61724,79471,38918,57830,20827,59031,17774,36416,12869
경부,구로,21756,4904,17909,11733,32110,31581,31644,73001,20169,39003,15780,21258,15816,17536,17149,17039,17384,17759,18752,17756,20854,20273,25453,22447,43138,31538,61074,38437,27154,27103,18071,17499,15356,17413,10035,11362
2,구로디지털단지,37073,6175,47868,22027,119614,73382,155247,215653,95667,125317,51831,47117,44927,37742,48991,38030,50702,43167,47466,44561,50938,53776,61323,60625,106301,90173,186860,140888,92761,112027,52798,67886,43779,71124,28904,51972
분당,구룡,289,318,1003,3360,2239,5673,2657,4578,1817,2289,1570,1310,2235,1107,1717,1293,1931,1510,1895,1464,2236,1567,4768,1386,4667,1806,3301,2524,1410,2113,917,1231,1804,1118,466,936
중앙,구리,7772,1615,17490,6496,49686,8886,41589,16976,19688,14529,13694,11362,14193,10570,14284,10475,13519,13714,13033,13412,13675,14647,15677,19208,17570,24748,17521,41935,10791,37645,9840,21535,6423,16400,4713,13489
9,구반포,450,206,1452,1579,3378,3000,4397,6216,2913,3995,2331,2980,2237,2897,2784,3111,3169,3384,3270,3162,3503,3461,4242,3371,5099,4304,7263,6216,3811,4331,2888,2330,2393,2020,1603,1590
6,구산,4340,167,9220,2060,23549,4717,28231,5684,13530,4390,8494,3794,7486,4972,7998,4496,7455,5403,6757,5666,7551,7323,8730,8892,7519,10461,6944,16583,4408,16367,3390,7901,2836,6933,2508,5151
분당,구성,2179,435,6377,2587,17321,3931,15864,7040,8272,3048,5518,2700,4770,3150,4515,3325,4408,3554,4571,3856,4162,4840,4420,6157,5894,8844,6263,15270,3163,14288,2327,8590,1946,6477,1335,5770
2,구의,12579,1025,22739,8803,57117,12914,93637,34479,52998,21088,26442,15738,21313,15214,22039,17296,22765,19323,21035,21159,21102,26838,23592,30721,27159,44125,35174,76630,18979,56024,14322,35082,13827,33538,10816,25371
